X,Y,OBJECTID,Location,RouteName,Type_1,StopSurface,Sidewalk,Name,SharedSignage,Additional,Garbage,Bench,SignCondition,PoleCondition,NumberSigns,Shelter,ShelterCondition,Accessibility,WidthSidewalk,SnowRemoval,GlobalID,Route_s
-66.65458371,45.98712612,24,204 Brookside,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,28,Yes,,No,No,Good,Good,3,,,Level 1: ADA Compliant,,,{C0D33FDF-1120-4350-811C-C3E32FA2E696},13
-66.65178673,45.98857266,25,1035 Douglas,13S Prospect,Shelter with Metal Pole,Concrete,Yes Boulevard,30,Yes,,No,Yes,Good,Good,2,Glass,Good,Level 1: ADA Compliant,,RO,{C3F45E7B-8383-40DD-819B-579D083F7A74},13
-66.64737317,45.98985987,26,917 Douglas,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,31,No,Retake,No,No,Unknown,Good,1,,,Level 2: Accessible,,,{D7772275-EF4B-47DB-93AB-950F9F5B254F},13
-66.64665214,45.98944544,27,561 Fulton,13S Prospect,Standard on Metal Pole,Dirt,No,32,No,,No,No,Fair,Other,1,,,Level 3: Not Accessible,,,{987DA1BB-7109-4E25-A741-BED8CC1EAFC9},13
-66.6468137,45.98810726,28,447 Fulton,13S Prospect,Standard on Metal Pole,Dirt,No,33,No,,No,No,Unknown,Other,1,,,Level 2: Accessible,,,{5829A2B2-9A8E-4A1C-9A75-523B37C02643},13
-66.65043701,45.98413995,29,299 Fulton,13S Prospect,Standard on Metal Pole,Dirt,No,37,Yes,,No,No,Good,Good,3,,,Level 3: Not Accessible,,,{130C62AF-BEAB-4BB2-BC9D-B7A332398409},13
-66.65153555,45.98237071,30,211 Fulton,13S Prospect,Standard on Metal Pole,Dirt,No,38,Yes,,No,No,Good,Good,2,,,Level 3: Not Accessible,,,{0E2FA91B-76C1-4020-8D11-8168875D24CF},13
-66.65139039,45.98094129,31,Maple near Fulton,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,39,Yes,Retake._ branches cover it,No,No,Good,Good,2,,,Level 2: Accessible,,,{CD0C6843-6F1C-4069-8C85-C046FEAFBA2C},13
-66.64929647,45.98027924,32,301 Maple,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,40,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{DB53A9EA-A131-477B-B4C2-C42CB0CD3F0F},13
-66.64651612,45.97936491,33,Maple near Oak,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,41,No,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{B9232934-267C-434D-8BA1-E1B7E65993BE},13
-66.64430436,45.97867114,34,573 Maple,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,43,No,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{9CF14F81-7841-411A-9B36-642F066C145A},13
-66.64190173,45.97792614,35,589 Maple,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,45,No,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{D682AA2A-D1F8-43E4-98B9-5AEDB91610B4},13
-66.63967706,45.97721814,36,601 Maple,13S Prospect,Shelter with Metal Pole,Concrete,Yes Monolithic,46,No,,No,Yes,Good,Good,1,Metal,Fair,Level 1: ADA Compliant,,RO,{DF92B61C-DA62-4A7C-BA57-495A231E632A},13
-66.65966561,45.95763997,37,Waggoners & Simpson,13S Prospect,Shelter,Concrete,Yes Monolithic,63,,,,,,,,,,Level 1: ADA Compliant,,RO,{F44EA3C6-6E97-46C7-B10D-4E9FB1AA8BC2},
-66.65858554,45.95594508,38,575 Smythe,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,64,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{48CB4F11-DCCB-4446-BC62-D9754D0FCE49},13
-66.66045214,45.95372743,39,687 Smythe,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,66,Yes,,No,No,Good,Fair,2,,,Level 2: Accessible,,,{A48B7341-B52E-4A7C-A952-B6698075ABB7},13
-66.66208162,45.95174551,40,795 Smythe,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,67,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{AAF5233D-541B-4756-865A-92EFDFE6F216},13
-66.66393048,45.94954249,41,905 Smythe,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,68,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,,{97F599D7-3C87-4255-A606-C666AF1F22A8},13
-66.66553014,45.94762043,42,989 Smythe,13S Prospect,Standard on Metal Pole,Concrete,Yes Monolithic,69,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,,{62AFEC3F-33E4-4343-AAF3-8FACCA85062D},13
-66.66746272,45.94604107,43,252 Parkside,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,70,No,,No,No,Fair,Other,1,,,Level 2: Accessible,,,{AE7C250E-9B0E-4460-8002-0E158A679B73},13
-66.67036654,45.94615802,44,125-135 Parkside,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,71,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{C671DCCE-F812-4336-9F8B-22BF159E3CBD},13
-66.67287024,45.94562777,45,245 Parkside,13S Prospect,Standard on Metal Pole,Concrete,Yes Boulevard,72,No,,No,No,Good,Good,1,,,Level 1: ADA Compliant,,,{282CFF0D-DE09-4372-BB4F-6166DC4E0224},13
-66.67632583,45.94612805,46,45 Greenfields,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,75,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,,{B5E09E24-1048-4C34-99B3-84C8E76FC145},13
-66.67598788,45.94508768,47,880 Prospect,13S Prospect,Shelter with Metal Pole,Concrete,Yes Boulevard,76,Yes,,No,Yes,Good,Good,2,Glass,Good,Level 2: Accessible,,RO,{77EE2BF4-6F00-49DA-AAA4-3DA824F1869C},"13, 14"
-66.67369214,45.94411543,48,924 Prospect,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,77,No,,No,No,Good,Other,1,,,Level 2: Accessible,,RO,{8723D06F-0FFB-496E-8394-C6ECF6261DE7},"13, 14"
-66.67099638,45.94295425,49,984 Prospect,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,78,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,,{C725655B-48B9-41C9-9DA9-43791E5FCE0E},"13, 14"
-66.66829235,45.94175527,50,1034 Prospect,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,79,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,RO,{58016D48-0645-4F1E-A6AF-9BF7898295DA},"13, 14"
-66.66241873,45.93958758,51,Prospect/ Uptown Ctr,13S Prospect,Shelter with Metal Pole,Concrete,Yes Boulevard,81,No,Retake,No,Yes,Unknown,Good,1,Glass,Good,Level 2: Accessible,,RO,{4993B150-4006-47B1-8DEA-56820C596CA4},"13, 14"
-66.66810904,45.94195604,52,1029 Prospect,12N Brookside ,Shelter with Metal Pole,Gravel,Yes Boulevard,88,Yes,Retake ,No,Yes,Good,Good,2,Glass,Good,Level 2: Accessible,,RO,{DED68541-7555-4458-A4F3-A69F6E381F52},12
-66.67140714,45.94334443,53,967 Prospect,12N Brookside ,Standard on Metal Pole,Dirt,Yes Boulevard,90,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,RO,{DF1044C0-F48D-4932-BDC0-5507B4FF4F82},"12, 15"
-66.67377314,45.94438043,54,919 Prospect,12N Brookside ,Standard on Metal Pole,Dirt,Yes Boulevard,91,Yes,,No,No,Good,Good,2,,,Level 3: Not Accessible,,RO,{97661560-5A54-4D7C-98FF-65DF4AD4828D},"12, 15"
-66.67556677,45.94511933,55,867 Prospect,12N Brookside ,Standard on Metal Pole,Dirt,Yes Boulevard,92,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,RO,{384C0E7D-CE4E-4C4F-8800-0E5B91F3BDEE},"12, 15"
-66.67625667,45.94607943,56,Greenfields/  Prospect,12N Brookside ,Standard on Metal Pole,Dirt,No,93,Yes,,No,No,Good,Good,2,,,Level 2: Accessible,,,{C246D88C-63EA-4708-8B47-ACB885D57B24},12
-66.67483536,45.9467031,57,102 Greenfields,12N Brookside ,Standard on Metal Pole,Concrete,No,94,Yes,,No,No,Good,Good,4,,,Level 2: Accessible,,,{C77914F7-CB5D-4CC3-AB1B-22259ED0BAA2},12
-66.67358869,45.94628282,58,290 Parkside,12N Brookside ,Standard on Metal Pole,Dirt,No,95,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{06713819-4258-4F40-9A70-8C8D1CF9BF2E},12
-66.6728479,45.94546926,59,240 Parkside,12N Brookside ,Shelter,Dirt,No,96,No,Metal shelter. No sign.,,Yes,Good,,1,Metal,Fair,Level 3: Not Accessible,,,{19438E4F-0AC1-4F5F-B342-B82A8E22FFB9},12
-66.67081853,45.94578949,60,144 Parkside,12N Brookside ,Standard on Metal Pole,Dirt,No,97,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{DBAA5CCB-9965-4251-8126-3413D1CC1339},12
-66.66857687,45.94608248,61,76 Parkside,12N Brookside ,Standard on Metal Pole,Dirt,No,98,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{7DF5A0B4-B68E-4C44-AB9A-1B286884487F},12
-66.6660091,45.94672466,62,1040 Smythe,12N Brookside ,Standard on Metal Pole,Concrete,Yes Monolithic,99,No,,No,No,Good,Good,1,,,Level 2: Accessible,,,{98E6B33A-D8A1-437B-A4CC-8878BD73F8F1},12
-66.6652514,45.94763868,63,986 Smythe,12N Brookside ,Standard on Metal Pole,Concrete,Yes Monolithic,100,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{F03777AB-5375-41F2-A189-01EE9CED4E1A},12
-66.66381632,45.94936505,64,916 Smythe,12N Brookside ,Standard on Metal Pole,Concrete,Yes Monolithic,101,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{87B73E0B-E149-4F3E-A5EF-4FED9BBCCB7D},12
-66.66177014,45.95182643,65,794 Smythe,12N Brookside ,Standard on Metal Pole,Concrete,Yes Monolithic,102,Yes,Rusting,No,No,Good,Fair,2,,,Level 2: Accessible,,,{B70FEC0D-E48F-42AB-A406-75D24E9838FC},12
-66.66029714,45.95357943,66,696 Smythe,12N Brookside ,Standard on Metal Pole,Concrete,Yes Monolithic,103,Yes,,No,No,Good,Good,3,,,Level 2: Accessible,,,{BBFE3AAE-1929-4567-BC66-8F0AFEBB3FCC},12
